product_name,drug_varient,product_photo_url,product_photo_url,final_price,original_price,offer,is_in_stock
Palmolive Foaming Lime & Mint Hand Wash 250 ml,Mfr: Colgate Palmolive India Ltd,https://www.netmeds.com/images/product-v1/150x150/409999/palmolive_foaming_lime_mint_hand_wash_250_ml_0.jpg,https://www.netmeds.com/non-prescriptions/palmolive-foaming-lime-mint-hand-wash-250ml,Rs. 140.00,None,None,True
Dettol Liquid Handwash Refill - Original 175 ml,Mfr: Reckitt Benckiser India Ltd,https://www.netmeds.com/images/product-v1/150x150/411335/dettol_liquid_handwash_refill_original_175_ml_0.jpg,https://www.netmeds.com/non-prescriptions/dettol-original-liquid-hand-wash-refill-175ml,Rs. 45.00,None,None,True
Dettol Liquid Handwash - Skincare 200 ml,Mfr: Reckitt Benckiser India Ltd,https://www.netmeds.com/images/product-v1/150x150/410014/dettol_liquid_handwash_skincare_200_ml_0.jpg,https://www.netmeds.com/non-prescriptions/dettol-skin-care-ph-balanced-handwash-200ml,Rs. 79.00,None,None,True
Bioderma Sensibio H2O Micellar Solution 250 ml,Mfr: Naos Skin Care India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/857265/bioderma_sensibio_h2o_micellar_solution_250_ml_0.jpg,https://www.netmeds.com/non-prescriptions/bioderma-sensibio-h2o-micellar-solution-250-ml,Rs. 990.00,None,None,True
Bioderma Sensibio H2O Cleanser 500 ml,Mfr: Naos Skin Care India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/411642/bioderma_sensibio_h2o_cleanser_500_ml_0.jpg,https://www.netmeds.com/non-prescriptions/bioderma-sensibio-h2o-cleanser-500ml,"Rs. 1,695.00",None,None,True
Bioderma Sensibio H2O Cleanser 100 ml,Mfr: Naos Skin Care India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/411641/bioderma_sensibio_h2o_cleanser_100_ml_0.jpg,https://www.netmeds.com/non-prescriptions/bioderma-sensibio-h2o-cleanser-100ml,Rs. 660.00,None,None,True
Bioderma Atoderm Intensive Baume 75 ml,Mfr: Naos Skin Care India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/411650/bioderma_atoderm_intensive_baume_75_ml_0.jpg,https://www.netmeds.com/non-prescriptions/bioderma-atoderm-intensive-baume-moisturizer-75ml,Rs. 680.00,None,None,True
Colgate Plax Mouthwash - Fresh Mint 500 ml,Mfr: Colgate Palmolive India Ltd,https://www.netmeds.com/images/product-v1/150x150/413793/colgate_plax_mouthwash_fresh_mint_500_ml_0.jpg,https://www.netmeds.com/non-prescriptions/colgate-plax-fresh-mint-mouth-wash-500ml,Rs. 240.00,None,None,True
Sri Sri Tattva Sudanta Tooth Paste 100 gm,Mfr: Sriveda Sattva Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/824284/sri_sri_tattva_sudanta_tooth_paste_100_gm_0.jpg,https://www.netmeds.com/non-prescriptions/srisri-tattva-sudanta-tooth-paste-100gm,Rs. 53.20,Rs. 56.00,5% OFF,True
Sri Sri Tattva Sudanta Tooth Paste 50 gm,Mfr: Sriveda Sattva Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/824285/sri_sri_tattva_sudanta_tooth_paste_50_gm_0.jpg,https://www.netmeds.com/non-prescriptions/srisri-tattva-sudanta-tooth-paste-50gm,Rs. 28.50,Rs. 30.00,5% OFF,True
Palmolive Aroma Shower Gel - Absolute Relax 750 ml,Mfr: Colgate Palmolive India Ltd,https://www.netmeds.com/images/product-v1/150x150/828348/palmolive_aroma_shower_gel_absolute_relax_750_ml_0.jpg,https://www.netmeds.com/non-prescriptions/palmolive-aroma-absolute-relax-body-wash-750-ml,Rs. 499.00,None,None,True
Palmolive Aroma Shower Gel - Morning Tonic 750 ml,Mfr: Colgate Palmolive India Ltd,https://www.netmeds.com/images/product-v1/150x150/828351/palmolive_aroma_morning_tonic_body_wash_750_ml_0.jpg,https://www.netmeds.com/non-prescriptions/palmolive-aroma-morning-tonic-body-wash-750-ml,Rs. 499.00,None,None,True
Bioderma Photoderm Max Aquafluide SPF 50+ Claire - Light Shade 40 ml,Mfr: Naos Skin Care India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/829518/bioderma_photoderm_max_aquafluide_spf_50_claire_light_shade_40_ml_0.jpg,https://www.netmeds.com/non-prescriptions/bioderma-photoderm-max-aquafluide-spf-50-claire-light-shade-40-ml,"Rs. 1,575.00",None,None,True
Bioderma Atoderm Intensive Gel Moussant 200 ml,Mfr: Naos Skin Care India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/829515/bioderma_atoderm_intensive_gel_moussant_200_ml_0.jpg,https://www.netmeds.com/non-prescriptions/bioderma-atoderm-intensive-gel-moussant-200-ml,Rs. 999.00,None,None,True
Bioderma Photoderm AKN Mat SPF 30 Matifying Fluid 40 ml,Mfr: Naos Skin Care India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/28012/bioderma_photoderm_akn_mat_spf_30_matifying_fluid_40_ml_0.jpg,https://www.netmeds.com/non-prescriptions/photoderm-akn-mat-spf30-cream-40ml,"Rs. 1,550.00",None,None,True
Halo Nourishing Shampoo + Conditioner 1 ltr,Mfr: Colgate Palmolive India Ltd,https://www.netmeds.com/images/product-v1/150x150/12876/halo_nourishing_shampoo_conditioner_1_ltr_0.jpg,https://www.netmeds.com/non-prescriptions/halo-nourishing-shampoo-with-natural-protein-egg-1ltr,Rs. 290.00,None,None,True
Pantene Pro V Open Hair Miracle Oil Replacement 180 ml,Mfr: Procter & Gamble,https://www.netmeds.com/images/product-v1/150x150/801220/pantene_pro_v_oil_replacement_180_ml_0_1.jpg,https://www.netmeds.com/non-prescriptions/pantene-pro-v-oil-replacement-gel-180ml,Rs. 190.00,None,None,True
Pantene Pro-V Open Hair Miracle Oil Replacement 80 ml,Mfr: Procter & Gamble,https://www.netmeds.com/images/product-v1/150x150/801221/pantene_pro_v_open_hair_miracle_oil_replacement_80_ml_0.jpg,https://www.netmeds.com/non-prescriptions/pantene-pro-v-oil-replacement-gel-80ml,Rs. 90.00,None,None,True
Pantene Pro-V Advanced Hair Fall Solution+ Shampoo - Long Black 340 ml,Mfr: Procter & Gamble,https://www.netmeds.com/images/product-v1/150x150/15015/pantene_pro_v_advanced_hair_fall_solution_shampoo_long_black_340_ml_0.jpg,https://www.netmeds.com/non-prescriptions/pantene-pro-v-long-black-shampoo-340ml,Rs. 220.00,None,None,True
HealthAid Aloe Vera Gel 250 ml,Mfr: Radicura Pharmaceuticals,https://www.netmeds.com/images/product-v1/150x150/408413/healthaid_aloe_vera_gel_250_ml_0.jpg,https://www.netmeds.com/non-prescriptions/healthaid-aloe-vera-gel-250ml,Rs. 994.50,"Rs. 1,170.00",15% OFF,True
Nivea Men Roll On Deodorant - Fresh Active 25 ml,Mfr: Nivea India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/411251/nivea_men_roll_on_deodorant_fresh_active_25_ml_0.jpg,https://www.netmeds.com/non-prescriptions/nivea-fresh-active-roll-on-25ml,Rs. 79.20,Rs. 99.00,20% OFF,True
Pee Safe Toilet Seat Sanitizer Spray - Mint (Pack of 3 x 50 ml),Mfr: Redcliffe Hygiene Private Limited,https://www.netmeds.com/images/product-v1/150x150/821357/pee_safe_toilet_seat_sanitizer_spray_mint_pack_of_3_x_50_ml_0.jpg,https://www.netmeds.com/non-prescriptions/pee-safe-toilet-seat-sanitizer-spray-mint-3x50-ml,Rs. 349.00,None,None,True
Pee Safe Toilet Seat Sanitizer Spray - Lavender 75 ml,Mfr: Redcliffe Hygiene Private Limited,https://www.netmeds.com/images/product-v1/150x150/821355/pee_safe_toilet_seat_sanitizer_spray_lavender_75_ml_0.jpg,https://www.netmeds.com/non-prescriptions/pee-safe-toilet-seat-sanitizer-spray-lavender-75ml,Rs. 180.00,None,None,True
Lacto Calamine Oil Balance for Oily Skin Lotion 120 ml,Mfr: Piramal Healthcare Ltd,https://www.netmeds.com/images/product-v1/150x150/411868/lacto_calamine_oil_balance_for_oily_skin_lotion_120_ml_0_1.jpg,https://www.netmeds.com/non-prescriptions/lacto-calamine-oil-balance-for-oily-skin-lotion-120ml,Rs. 189.00,Rs. 210.00,10% OFF,True
Aroma Magic Vitamin E Night Cream 200 gm,Mfr: Blossom Kochhar Aroma Magic,https://www.netmeds.com/images/product-v1/150x150/829573/aroma_magic_vitamin_e_night_cream_200_gm_0.jpg,https://www.netmeds.com/non-prescriptions/aroma-magic-vitamin-e-night-cream-200-gm,Rs. 840.00,"Rs. 1,200.00",30% OFF,True
Palmolive Aroma Shower Gel - Morning Tonic 250 ml,Mfr: Colgate Palmolive India Ltd,https://www.netmeds.com/images/product-v1/150x150/404495/palmolive_aroma_shower_gel_morning_tonic_250_ml_0.jpg,https://www.netmeds.com/non-prescriptions/palmolive-aroma-morning-tonic-shower-gel-250-ml,Rs. 190.00,None,None,True
Colgate Plax Mouthwash - Peppermint 500 ml,Mfr: Colgate Palmolive India Ltd,https://www.netmeds.com/images/product-v1/150x150/356781/colgate_plax_mouthwash_peppermint_500_ml_0.jpg,https://www.netmeds.com/non-prescriptions/colgate-plax-pepper-mint-mouth-wash-500ml,Rs. 230.00,None,None,True
Colgate Max Fresh Plax Mouthwash - Fresh Tea 250 ml,Mfr: Colgate Palmolive India Ltd,https://www.netmeds.com/images/product-v1/150x150/12883/colgate_plax_mouthwash_fresh_tea_250_ml_0_1.jpg,https://www.netmeds.com/non-prescriptions/colgate-plax-fresh-tea-mouthwash-250ml,Rs. 130.00,None,None,True
Colgate Plax Mouthwash - Fresh Tea 500 ml,Mfr: Colgate Palmolive India Ltd,https://www.netmeds.com/images/product-v1/150x150/406976/colgate_plax_mouthwash_fresh_tea_500_ml_0_1.jpg,https://www.netmeds.com/non-prescriptions/colgate-plax-fresh-tea-mouth-wash-500ml,Rs. 230.00,None,None,True
VLCC Hydrating Anti-Ageing Almond & Olive Night Cream 50 gm,Mfr: Vlcc Health Care Ltd,https://www.netmeds.com/images/product-v1/150x150/14755/vlcc_hydrating_anti_ageing_almond_olive_night_cream_50_gm_0.jpg,https://www.netmeds.com/non-prescriptions/vlcc-hydrating-anti-ageing-almond-olive-night-cream-50gm,Rs. 450.00,None,None,True
Kamasutra Deodorant - Spark 150 ml,Mfr: J.K. Ansell Ltd,https://www.netmeds.com/images/product-v1/150x150/850990/kamasutra_deodorant_spark_150_ml_0.jpg,https://www.netmeds.com/non-prescriptions/kamasutra-spark-deodorant-150-ml,Rs. 178.50,Rs. 210.00,15% OFF,True
Dettol pH Balanced Handwash Refill - Skincare 175 ml,Mfr: Reckitt Benckiser India Ltd,https://www.netmeds.com/images/product-v1/150x150/412368/dettol_ph_balanced_handwash_refill_skincare_175_ml_0.jpg,https://www.netmeds.com/non-prescriptions/dettol-skincare-ph-balanced-hand-wash-refill-175ml,Rs. 40.00,None,None,True
Dettol pH Balanced Handwash - Skincare 900 ml,Mfr: Reckitt Benckiser India Ltd,https://www.netmeds.com/images/product-v1/150x150/15124/dettol_ph_balanced_handwash_skincare_900_ml_0.jpg,https://www.netmeds.com/non-prescriptions/dettol-skincare-ph-balanced-handwash-900ml,Rs. 209.00,None,None,True
Colgate Visible White Sparkling Mint Toothpaste 100 gm,Mfr: Colgate Palmolive India Ltd,https://www.netmeds.com/images/product-v1/150x150/412338/colgate_visible_white_sparkling_mint_toothpaste_100_gm_0.jpg,https://www.netmeds.com/non-prescriptions/colgate-visible-white-sparkling-mint-tooth-paste-100gm,Rs. 99.00,None,None,True
Colgate Plax Mouthwash - Peppermint 250 ml,Mfr: Colgate Palmolive India Ltd,https://www.netmeds.com/images/product-v1/150x150/406980/colgate_plax_mouthwash_peppermint_250_ml_0.jpg,https://www.netmeds.com/non-prescriptions/colgate-plax-pepper-mint-mouth-wash-250ml,Rs. 130.00,None,None,True
Colgate Plax Mouthwash - Freshmint Splash 250 ml,Mfr: Colgate Palmolive India Ltd,https://www.netmeds.com/images/product-v1/150x150/406979/colgate_plax_mouthwash_fresh_mint_250_ml_0.jpg,https://www.netmeds.com/non-prescriptions/colgate-plax-fresh-mint-mouth-wash-250ml,Rs. 120.00,None,None,True
Colgate Plax Gentle Care Mouthwash 250 ml,Mfr: Colgate Palmolive India Ltd,https://www.netmeds.com/images/product-v1/150x150/409062/colgate_plax_gentle_care_mouthwash_250_ml_0.jpg,https://www.netmeds.com/non-prescriptions/colgate-plax-gentle-care-mouthwash-250ml,Rs. 130.00,None,None,True
Adiction Body Perfume - Xtra Strong Force 122 ml,Mfr: Mankind Pharma Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/409303/adiction_body_perfume_xtra_strong_force_122_ml_0.jpg,https://www.netmeds.com/non-prescriptions/adiction-xtra-strong-force-122ml,Rs. 218.50,Rs. 230.00,5% OFF,True
Adiction Body Perfume - Xtra Strong Energy 122 ml,Mfr: Mankind Pharma Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/409304/adiction_body_perfume_xtra_strong_energy_122_ml_0.jpg,https://www.netmeds.com/non-prescriptions/adiction-xtra-strong-energy-122ml,Rs. 218.50,Rs. 230.00,5% OFF,True
Adiction Body Perfume - Xtra Strong Impact 122 ml,Mfr: Mankind Pharma Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/409305/adiction_body_perfume_xtra_strong_impact_122_ml_0.jpg,https://www.netmeds.com/non-prescriptions/adiction-xtra-strong-impact-122ml,Rs. 207.00,Rs. 230.00,10% OFF,True
Lacto Calamine Oil Balance for Oily Skin Daily Face Care Lotion 60 ml,Mfr: Piramal Healthcare Ltd,https://www.netmeds.com/images/product-v1/150x150/15608/lacto_calamine_oil_balance_for_oily_skin_daily_face_care_lotion_60_ml_0.jpg,https://www.netmeds.com/non-prescriptions/lacto-calamine-oil-balance-for-oily-skin-daily-face-care-lotion-60ml,Rs. 117.00,Rs. 130.00,10% OFF,True
Evver Hair Oil 100 ml,Mfr: Eliph Nutrition Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/887453/evver_hair_oil_100_ml_0.jpg,https://www.netmeds.com/non-prescriptions/evver-hair-oil-100-ml,Rs. 424.15,Rs. 499.00,15% OFF,True
Evver Anti-Aging Anti-Oxidant Face Serum C 25 ml,Mfr: Eliph Nutrition Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/887452/evver_anti_aging_anti_oxidant_face_serum_c_25_ml_0.jpg,https://www.netmeds.com/non-prescriptions/evver-anti-aging-anti-oxidant-face-serum-c-25-ml,"Rs. 1,274.15","Rs. 1,499.00",15% OFF,True
