product_name,drug_varient,product_photo_url,product_url,final_price,original_price,offer,is_in_stock
Dabur Chyawanprash Awaleha 250 gm,Mfr: Dabur India Ltd,https://www.netmeds.com/images/product-v1/150x150/12748/dabur_chyawanprash_awaleha_250_gm_0.jpg,https://www.netmeds.com/non-prescriptions/dabur-chyawanprash-awaleha-250g,Rs. 99.00,None,None,True
Dabur Chyawanprakash Sugarfree 900 gm,Mfr: Dabur India Ltd,https://www.netmeds.com/images/product-v1/150x150/800876/dabur_chyawanprakash_sugarfree_900_gm_0.jpg,https://www.netmeds.com/non-prescriptions/dabur-chyawanprash-sugar-free-syrup-900gm,Rs. 390.00,None,None,True
Essentium Herboglo Capsules 60's,Mfr: Eliph Nutrition Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/408606/essentium_herboglo_capsules_60_s_0.jpg,https://www.netmeds.com/non-prescriptions/vedic-herbonatics-herboglo-60-capsules,Rs. 675.00,None,None,True
Women's Horlicks No Added Sugar Powder - Chocolate Flavour 400 gm (Pet Jar),Mfr: Gsk Consumer Healthcare,https://www.netmeds.com/images/product-v1/150x150/12822/women_s_horlicks_no_added_sugar_powder_chocolate_flavour_400_gm_pet_jar_0.jpg,https://www.netmeds.com/non-prescriptions/women-s-horlicks-chocolate-flavour-400g-pet-jar,Rs. 299.00,None,None,True
Gnc Thermo Burst Hardcore Tablet 90's,Mfr: Guardian Healthcare,https://www.netmeds.com/images/product-v1/150x150/852533/gnc_thermo_burst_hardcore_tablet_90_s_0.jpg,https://www.netmeds.com/non-prescriptions/gnc-thermo-burst-hardcore-tablet-90-s,"Rs. 3,199.20","Rs. 3,999.00",20% OFF,True
GNC Garcinia Cambogia 500 mg Capsule 90's,Mfr: Guardian Healthcare,https://www.netmeds.com/images/product-v1/150x150/889662/gnc_garcinia_cambogia_500_mg_capsule_90s_0_1.jpg,https://www.netmeds.com/non-prescriptions/gnc-garcinia-cambogia-capsule-90-s,Rs. 874.30,"Rs. 1,249.00",30% OFF,True
GNC Womens Ultra Mega 50 Plus One Daily Caplet 60's,Mfr: Guardian Healthcare,https://www.netmeds.com/images/product-v1/150x150/889701/gnc_womens_ultra_mega_50_plus_one_daily_caplet_60s_0_0.jpg,https://www.netmeds.com/non-prescriptions/gnc-womens-ultra-mega-50-plus-one-daily-caplet-60-s,"Rs. 2,999.00",None,None,True
GNC Mega Men 50 Plus One Daily Caplet 60's,Mfr: Guardian Healthcare,https://www.netmeds.com/images/product-v1/150x150/889715/gnc_mega_men_50_plus_one_daily_caplet_60_s_0.jpg,https://www.netmeds.com/non-prescriptions/gnc-mega-men-50-plus-multivitamin-caplet-60-s,"Rs. 3,099.00",None,None,True
Horlicks Health drink Powder - Classic Malt Flavour 750 gm (Pouch),Mfr: Gsk Consumer Healthcare,https://www.netmeds.com/images/product-v1/150x150/886804/horlicks_health_drink_powder_classic_malt_flavour_750_gm_refill_pack_0.jpg,https://www.netmeds.com/non-prescriptions/horlicks-health-drink-powder-classic-malt-flavour-750-gm-refill-pack,Rs. 330.00,None,None,True
Sri Sri Tattva Ashwagandha 500 mg Tablet 60's,Mfr: Sriveda Sattva Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/824207/sri_sri_tattva_ashwagandha_500_mg_tablet_60_s_0.jpg,https://www.netmeds.com/non-prescriptions/srisri-tattva-ashwagandha-tablet-500mg-tablet-60-s,Rs. 123.50,Rs. 130.00,5% OFF,True
Sri Sri Tattva Madhukari Herbal Tea 100 gm,Mfr: Sriveda Sattva Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/824345/sri_sri_tattva_madhukari_herbal_tea_100_gm_0.jpg,https://www.netmeds.com/non-prescriptions/srisri-tattva-madhukari-herbal-tea-100gm,Rs. 118.75,Rs. 125.00,5% OFF,True
Sri Sri Tattva Chyawanprash Tonic 250 gm,Mfr: Sriveda Sattva Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/824337/sri_sri_tattva_chyawanprash_tonic_250_gm_0.jpg,https://www.netmeds.com/non-prescriptions/srisri-tattva-chyawanprash-250gm,Rs. 104.50,Rs. 110.00,5% OFF,True
Sri Sri Tattva Chyawanprash Tonic 500 gm,Mfr: Sriveda Sattva Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/824338/sri_sri_tattva_chyawanprash_tonic_500_gm_0.jpg,https://www.netmeds.com/non-prescriptions/srisri-tattva-chyawanprash-500gm,Rs. 204.25,Rs. 215.00,5% OFF,True
Sri Sri Tattva Chyawanprash Tonic 1 kg,Mfr: Sriveda Sattva Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/824339/sri_sri_tattva_chyawanprash_tonic_1_kg_0.jpg,https://www.netmeds.com/non-prescriptions/srisri-tattva-chyawanprash-1kg,Rs. 389.50,Rs. 410.00,5% OFF,True
Horlicks Protein Plus powder - Chocolate Flavour 200 gm (Refill pack),Mfr: Gsk Consumer Healthcare,https://www.netmeds.com/images/product-v1/150x150/890701/horlicks_protein_plus_powder_chocolate_flavour_200_gm_refill_pack_0.jpg,https://www.netmeds.com/non-prescriptions/horlicks-protein-plus-powder-chocolate-flavour-200-gm-refill-pack-200-gm,Rs. 265.00,None,None,True
Horlicks Health Drink Powder Classic Malt 1 kg (Refill Pack),Mfr: Gsk Consumer Healthcare,https://www.netmeds.com/images/product-v1/150x150/12815/horlicks_health_drink_powder_classic_malt_1_kg_refill_pack_0.jpg,https://www.netmeds.com/non-prescriptions/horlicks-classic-malt-1kg-refill,Rs. 428.00,None,None,True
