product_name,drug_varient,product_photo_url,product_url,final_price,original_price,offer,is_in_stock
Durex Play Intimate Lube - Sensual 200 ml,Mfr: Reckitt Benckiser India Ltd,https://www.netmeds.com/images/product-v1/150x150/15140/durex_play_intimate_lube_sensual_200_ml_0_2.jpg,https://www.netmeds.com/non-prescriptions/durex-play-massage-2-in-1-sensual-intimate-lube-200ml,Rs. 552.50,Rs. 650.00,15% OFF,True
Manforce Stamina Extra Dotted Condoms - Pineapple Flvoured 10's,Mfr: Mankind Pharma Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/847905/manforce_stamina_extra_dotted_condoms_pineapple_flvoured_10_s_0.jpg,https://www.netmeds.com/non-prescriptions/manforce-stamina-pineapple-flavour-condom-10-s,Rs. 60.00,Rs. 80.00,25% OFF,True
Manforce Extra Dotted Condoms - Hazelnut Flavoured 10's,Mfr: Mankind Pharma Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/823628/manforce_extra_dotted_condoms_hazelnut_flavoured_10_s_0.jpg,https://www.netmeds.com/non-prescriptions/manforce-condoms-hazulnut-10-s,Rs. 60.00,Rs. 80.00,25% OFF,True
Manforce Sunny Edition Condoms 10's,Mfr: Mankind Pharma Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/823629/manforce_sunny_edition_condoms_10_s_0.jpg,https://www.netmeds.com/non-prescriptions/manforce-condoms-sunny-edition-10-s,Rs. 67.50,Rs. 90.00,25% OFF,True
Manforce Game Condoms - Exotic Flavoured 10's,Mfr: Mankind Pharma Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/823630/manforce_game_condoms_exotic_flavoured_10_s_0.jpg,https://www.netmeds.com/non-prescriptions/manforce-condoms-game-10-s,Rs. 67.50,Rs. 90.00,25% OFF,True
Manforce Extra Dotted Condoms - Hazelnut Flavoured 3's,Mfr: Mankind Pharma Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/824512/manforce_extra_dotted_condoms_hazelnut_flavoured_3_s_0.jpg,https://www.netmeds.com/non-prescriptions/manforce-condoms-hazulnut-3-s,Rs. 23.75,Rs. 25.00,5% OFF,True
Manforce Game Condoms - Exotic Flavoured 3's,Mfr: Mankind Pharma Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/824513/manforce_game_condoms_exotic_flavoured_3s_0_1.jpg,https://www.netmeds.com/non-prescriptions/manforce-condoms-game-3-s,Rs. 22.50,Rs. 30.00,25% OFF,True
Manforce 3 in 1 Wild Condoms - Strawberry Flavoured 10's,Mfr: Mankind Pharma Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/409278/manforce_3_in_1_wild_condoms_strawberry_flavoured_10_s_0.jpg,https://www.netmeds.com/non-prescriptions/manforce-condoms-wild-strawberry-10-s,Rs. 60.00,Rs. 80.00,25% OFF,True
Manforce 3 in 1 Wild Condoms - Chocolate Flavoured 10's,Mfr: Mankind Pharma Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/409280/manforce_3_in_1_wild_condoms_chocolate_flavoured_10_s_0.jpg,https://www.netmeds.com/non-prescriptions/manforce-condoms-wild-chocolate-10-s,Rs. 60.00,Rs. 80.00,25% OFF,True
Manforce 3 in 1 Wild Condoms - Black Grapes Flaboured 10's,Mfr: Mankind Pharma Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/409281/manforce_3_in_1_wild_condoms_black_grapes_flaboured_10s_0_1.jpg,https://www.netmeds.com/non-prescriptions/manforce-condoms-wild-black-grapes-10-s,Rs. 60.00,Rs. 80.00,25% OFF,True
